No.,generated_smiles,canonical_smiles,predicted_pIC50,SAScore,in_AD,Muegge rules
15,Cc1cccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)c1,Cc1cccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)c1,7.0238,1.807,True,yes
16,O=C(NO)c1cccc(NS(=O)(=O)c2cccnc2)c1,O=C(NO)c1cccc(NS(=O)(=O)c2cccnc2)c1,7.0159,1.982,True,yes
17,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1,7.0133,1.806,True,yes
18,O=C(NO)c1ccc(S(=O)(=O)Nc2ccc(Br)cc2)cc1,O=C(NO)c1ccc(S(=O)(=O)Nc2ccc(Br)cc2)cc1,7.0133,1.806,True,yes
19,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,7.0086,1.748,True,yes
20,NS(=O)(=O)c1cc(NS(=O)(=O)c2ccccc2)cc(C(=O)NO)c1,NS(=O)(=O)c1cc(NS(=O)(=O)c2ccccc2)cc(C(=O)NO)c1,6.9996,2.104,True,"no, 1 violations"
21,O=C(NO)c1cccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)c1,O=C(NO)c1cccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)c1,6.9959,2.057,True,yes
22,O=C(NO)c1cccc(CS(=O)(=O)c2ccccc2)c1,O=C(NO)c1cccc(CS(=O)(=O)c2ccccc2)c1,6.9815,1.857,True,yes
23,O=C(O)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1,O=C(O)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1,6.9808,1.805,True,yes
24,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,6.977,1.742,True,yes
25,O=C(NO)c1ccc(NC(=O)C2(c3ccc(Br)cc3)CC2)cc1,O=C(NO)c1ccc(NC(=O)C2(c3ccc(Br)cc3)CC2)cc1,6.9696,2.068,True,yes
26,O=C(NO)c1ccc(NS(=O)(=O)c2ccccc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccccc2)cc1,6.9508,1.677,True,yes
27,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)cc1,6.9501,1.965,True,yes
28,O=C(NO)c1ccc(NC(F)(F)F)cc1,O=C(NO)c1ccc(NC(F)(F)F)cc1,6.9419,2.273,True,yes
29,O=C(NO)c1ccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)cc1,O=C(NO)c1ccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)cc1,6.9412,2.007,True,yes
30,Cc1ccc(C(=O)NO)cc1C(=O)Nc1ccc(C(=O)NO)cc1,Cc1ccc(C(=O)NO)cc1C(=O)Nc1ccc(C(=O)NO)cc1,6.9342,1.967,True,yes
31,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)cc1,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)cc1,6.9315,1.982,True,"no, 1 violations"
32,O=C(CCCCCC(=O)c1ccc([N+](=O)[O-])cc1)NO,O=C(CCCCCC(=O)c1ccc([N+](=O)[O-])cc1)NO,6.9201,1.982,True,yes
33,O=C(NO)c1ccc(S(=O)(=O)Nc2ccncc2)cc1,O=C(NO)c1ccc(S(=O)(=O)Nc2ccncc2)cc1,6.9141,1.934,True,yes
34,Cc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2C)cc1,Cc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2C)cc1,6.9065,1.655,True,yes
35,O=C(NO)c1ccc(NC(O)(O)c2ccccc2)cc1,O=C(NO)c1ccc(NC(O)(O)c2ccccc2)cc1,6.9012,2.272,True,yes
36,Nc1ccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)cc1,Nc1ccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)cc1,6.8995,1.904,True,yes
37,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)c3ccccc3)cc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)c3ccccc3)cc2)cc1,6.8883,1.864,True,yes
38,O=C(NO)c1cccc(-c2cccccc2=O)c1,O=C(NO)c1cccc(-c2cccccc2=O)c1,6.8832,1.922,True,yes
39,O=C(NO)c1ccc(NC(=O)c2cccc(O)c2)cc1,O=C(NO)c1ccc(NC(=O)c2cccc(O)c2)cc1,6.8828,1.706,True,yes
40,O=C(NO)c1cccc(NS(=O)(=O)c2ccc(O)cc2)c1,O=C(NO)c1cccc(NS(=O)(=O)c2ccc(O)cc2)c1,6.8822,1.877,True,yes
41,O=C(NO)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,O=C(NO)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,6.8757,1.669,True,yes
42,O=C(NO)c1ccc(NS(=O)(=O)c2cccc(F)c2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2cccc(F)c2)cc1,6.8731,1.828,True,yes
43,Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1C,Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1C,6.8719,1.642,True,yes
44,O=C(NO)c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1,O=C(NO)c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1,6.8447,1.798,True,yes
45,Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)cc1,Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)cc1,6.8421,1.775,True,yes
46,O=C(NO)c1cccc(NS(=O)(=O)c2ccsc2)c1,O=C(NO)c1cccc(NS(=O)(=O)c2ccsc2)c1,6.8419,2.225,True,yes
47,O=C(C=Cc1ccccc1Cl)NO,O=C(C=Cc1ccccc1Cl)NO,6.8385,1.99,True,"no, 1 violations"
48,O=C(NO)c1ccc(NC(=O)c2ccc(C(=O)c3cccc(C(=O)NO)c3)cc2)cc1,O=C(NO)c1ccc(NC(=O)c2ccc(C(=O)c3cccc(C(=O)NO)c3)cc2)cc1,6.8285,2.043,True,yes
49,O=C(NO)c1cc(NS(=O)(=O)c2ccccc2)cc(C(=O)NO)c1,O=C(NO)c1cc(NS(=O)(=O)c2ccccc2)cc(C(=O)NO)c1,6.8269,2.134,True,yes
50,O=C(NO)c1ccc(NC(=O)c2cccc(-c3ccccc3)n2)cc1,O=C(NO)c1ccc(NC(=O)c2cccc(-c3ccccc3)n2)cc1,6.8246,1.836,True,yes
