No.;generated_smiles;canonical_smiles;predicted_pIC50;SAScore;in_AD;Muegge rules
3.0;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1;7.2425;2.013;True;yes
4.0;CC(=O)c1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;CC(=O)c1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;7.2067;1.822;True;yes
3.0;O=[SH]Nc1ccc(C(=O)NO)cc1;O=[SH]Nc1ccc(C(=O)NO)cc1;7.2009;3.099;True;yes
5.0;Cc1ccc(C(=O)NO)cc1NC(=O)c1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1;Cc1ccc(C(=O)NO)cc1NC(=O)c1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1;7.1962;2.039;True;no, 2 violations
6.0;Cc1cc(C(=O)NO)ccc1C(=O)Nc1ccc(C(C)(C)C)cc1;Cc1cc(C(=O)NO)ccc1C(=O)Nc1ccc(C(C)(C)C)cc1;7.1924;1.887;True;yes
7.0;Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1NC(=O)c1ccc(Cl)cc1;Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1NC(=O)c1ccc(Cl)cc1;7.1887;1.834;True;yes
8.0;NS(=O)(=O)Nc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;NS(=O)(=O)Nc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.18;2.088;True;no, 1 violations
;Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1C;Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1C;7.178;;;
10.0;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(NS(=O)(=O)c3ccccc3)c2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(NS(=O)(=O)c3ccccc3)c2)cc1;7.1693;2.009;True;
4.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1;7.1646;1.835;True;yes
9.0;Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1NC(=O)c1ccccc1;Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1NC(=O)c1ccccc1;7.1564;1.769;True;yes
10.0;Cc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;Cc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.1555;1.725;True;yes
11.0;Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;7.1555;1.725;True;yes
6.0;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(S(=O)(=O)c3ccccc3)c2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(S(=O)(=O)c3ccccc3)c2)cc1;7.1493;2.052;True;yes
7.0;CC(C)c1ccc(-c2ccc(S(=O)(=O)Nc3ccc(C(=O)NO)cc3)cc2)cc1;CC(C)c1ccc(-c2ccc(S(=O)(=O)Nc3ccc(C(=O)NO)cc3)cc2)cc1;7.1441;1.938;True;yes
14.0;CC(=O)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1;CC(=O)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1;7.128;1.874;True;
15.0;CC(C)(C)c1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;CC(C)(C)c1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;7.1166;1.792;True;
12.0;O=C(NO)c1ccc(C(=O)Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)cc1;O=C(NO)c1ccc(C(=O)Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)cc1;7.112;1.818;True;yes
16.0;Cn1c(=O)n(C)c2cc(C(=O)NCCCCC(=O)NO)ccc21;Cn1c(=O)n(C)c2cc(C(=O)NCCCCC(=O)NO)ccc21;7.1074;2.204;True;
13.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.0986;1.963;True;yes
18.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(S(=O)(=O)Nc3ccc(C(=O)NO)cc3)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(S(=O)(=O)Nc3ccc(C(=O)NO)cc3)cc2)cc1;7.0986;2.077;True;
19.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(-c3ccc(C(=O)NO)cc3)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(-c3ccc(C(=O)NO)cc3)cc2)cc1;7.0935;2.043;True;
20.0;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(=O)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(=O)cc2)cc1;7.0892;2.027;True;
14.0;O=C(F)c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1;O=C(F)c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1;7.0795;1.947;True;yes
15.0;Cc1ccc(C(=O)Nc2cc(C(=O)Nc3ccc(C(=O)NO)cc3)ccc2Cl)cc1;Cc1ccc(C(=O)Nc2cc(C(=O)Nc3ccc(C(=O)NO)cc3)ccc2Cl)cc1;7.0752;1.844;True;yes
16.0;COc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;COc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;7.0742;1.733;True;yes
22.0;COc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;COc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.0742;1.733;True;
17.0;CC(C)(C)c1ccc(NC(=O)c2cccc(C(=O)NO)c2)cc1;CC(C)(C)c1ccc(NC(=O)c2cccc(C(=O)NO)c2)cc1;7.0693;1.794;True;yes
18.0;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2)c1;7.0578;1.728;True;yes
19.0;O=C(NO)c1ccc(C(=O)Nc2ccc(CO)cc2)cc1;O=C(NO)c1ccc(C(=O)Nc2ccc(CO)cc2)cc1;7.0532;1.666;True;yes
20.0;O=C(NO)c1ccc(NC(=O)c2ccc(CO)cc2)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(CO)cc2)cc1;7.0532;1.666;True;yes
21.0;CS(=O)(=O)Nc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;CS(=O)(=O)Nc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.0524;1.973;True;yes
22.0;Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1NC(=O)c1ccc(F)cc1;Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1NC(=O)c1ccc(F)cc1;7.0502;1.838;True;yes
12.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(O)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(O)cc2)cc1;7.0484;1.827;True;yes
14.0;O=C(CCCCCc1ccc2ccccc2c1)NO;O=C(CCCCCc1ccc2ccccc2c1)NO;7.0457;;;
15.0;O=C(CCCCCCc1ccc2ccccc2c1)NO;O=C(CCCCCCc1ccc2ccccc2c1)NO;7.0457;;;
15.0;O=C(CCCCCCCCCCCc1ccc2ccccc2c1)NO;O=C(CCCCCCCCCCCc1ccc2ccccc2c1)NO;7.0457;;;
17.0;O=C(CCCCCCCCc1ccc2ccccc2c1)NO;O=C(CCCCCCCCc1ccc2ccccc2c1)NO;7.0457;;;
23.0;O=C(NO)c1cccc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c1;7.0374;2.022;True;yes
25.0;Cc1ccc(C(=O)NO)cc1S(=O)(=O)Nc1ccc(C(=O)NO)cc1;Cc1ccc(C(=O)NO)cc1S(=O)(=O)Nc1ccc(C(=O)NO)cc1;7.0354;2.092;True;
24.0;Cc1ccc(NC(=O)c2ccc(C(=O)NO)cc2C)cc1;Cc1ccc(NC(=O)c2ccc(C(=O)NO)cc2C)cc1;7.0303;1.707;True;yes
25.0;O=C(NO)c1cccc(NS(=O)(=O)c2ccc3ccccc3c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccc3ccccc3c2)c1;7.0258;1.877;True;yes
14.0;Cc1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1;Cc1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1;7.025;1.535;True;yes
15.0;Cc1cccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)c1;Cc1cccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)c1;7.0238;1.807;True;yes
16.0;O=C(NO)c1cccc(NS(=O)(=O)c2cccnc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cccnc2)c1;7.0159;1.982;True;yes
17.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1;7.0133;1.806;True;yes
18.0;O=C(NO)c1ccc(S(=O)(=O)Nc2ccc(Br)cc2)cc1;O=C(NO)c1ccc(S(=O)(=O)Nc2ccc(Br)cc2)cc1;7.0133;1.806;True;yes
19.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1;7.0086;1.748;True;yes
18.0;O=C(CCCCCCCCCc1cccccc1=O)NO;O=C(CCCCCCCCCc1cccccc1=O)NO;6.9413;;;
