No.;generated_smiles;canonical_smiles;predicted_pIC50;SAScore;in_AD;Muegge rules;;XGBOOST _[ALogPS;TRANSNNI;TRANSNNI_new
5;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccccc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccccc2)cc1;7.3346;2.777;True;;;;;
6;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)c1;7.3334;2.088;True;;;;;
7;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)c1;7.3334;2.439;True;;;;;
8;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)Nc3cccc(C(=O)NO)c3)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)Nc3cccc(C(=O)NO)c3)cc2)cc1;7.2932;2.114;True;;;;;
9;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1;7.2425;2.013;True;;;;;
10;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(NS(=O)(=O)c3ccccc3)c2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(NS(=O)(=O)c3ccccc3)c2)cc1;7.1693;2.009;True;;;;;
11;O=C(NO)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1;7.1646;1.835;True;;;;;
12;Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;7.1555;1.725;True;;;;;
13;Cc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;Cc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.1555;1.725;True;;;;;
14;CC(=O)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1;CC(=O)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1;7.128;1.874;True;;;;;
15;CC(C)(C)c1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;CC(C)(C)c1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;7.1166;1.792;True;;;;;
16;Cn1c(=O)n(C)c2cc(C(=O)NCCCCC(=O)NO)ccc21;Cn1c(=O)n(C)c2cc(C(=O)NCCCCC(=O)NO)ccc21;7.1074;2.204;True;;;;;
17;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.0986;1.963;True;;;;;
18;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(S(=O)(=O)Nc3ccc(C(=O)NO)cc3)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(S(=O)(=O)Nc3ccc(C(=O)NO)cc3)cc2)cc1;7.0986;2.077;True;;;;;
19;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(-c3ccc(C(=O)NO)cc3)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(-c3ccc(C(=O)NO)cc3)cc2)cc1;7.0935;2.043;True;;;;;
20;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(=O)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cccc(=O)cc2)cc1;7.0892;2.027;True;;;;;
21;COc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;COc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1;7.0742;1.733;True;;;;;
22;COc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;COc1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.0742;1.733;True;;;;;
23;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2)c1;7.0578;1.728;True;;;;;
24;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(O)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(O)cc2)cc1;7.0484;1.827;True;;;;;
25;Cc1ccc(C(=O)NO)cc1S(=O)(=O)Nc1ccc(C(=O)NO)cc1;Cc1ccc(C(=O)NO)cc1S(=O)(=O)Nc1ccc(C(=O)NO)cc1;7.0354;2.092;True;;;;;
9;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.0986;;;;;;;
14;O=C(CCCCCc1ccc2ccccc2c1)NO;O=C(CCCCCc1ccc2ccccc2c1)NO;7.0457;;;;;;;
15;O=C(CCCCCCc1ccc2ccccc2c1)NO;O=C(CCCCCCc1ccc2ccccc2c1)NO;7.0457;;;;;;;
15;O=C(CCCCCCCCCCCc1ccc2ccccc2c1)NO;O=C(CCCCCCCCCCCc1ccc2ccccc2c1)NO;7.0457;;;;;;;
17;O=C(CCCCCCCCc1ccc2ccccc2c1)NO;O=C(CCCCCCCCc1ccc2ccccc2c1)NO;7.0457;;;;;;;
18;O=C(CCCCCCCCCc1cccccc1=O)NO;O=C(CCCCCCCCCc1cccccc1=O)NO;6.9413;;;;;;;
;Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1C;Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1C;7.178;;;;;;;
