No.;step;generated_smiles;canonical_smiles;predicted_pIC50;SAScore;in_AD;Muegge rules;
34;249;O=C(NO)c1cccc(NS(=O)(=O)c2cc(Cl)c(Cl)c(Cl)c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cc(Cl)c(Cl)c(Cl)c2)c1;6.8715;2.194;true;yes;
35;171;Cc1ccc(C(=O)NO)cc1NCc1cc(Br)cc(Br)c1C;Cc1ccc(C(=O)NO)cc1NCc1cc(Br)cc(Br)c1C;6.8685;2.338;true;yes;
36;181;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)cc(Br)c1Cl;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)cc(Br)c1Cl;6.8607;2.263;true;yes;
37;59;O=C(NO)c1cccc(NS(=O)(=O)c2ccc(Cl)cc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccc(Cl)cc2)c1;6.8581;1.792;true;yes;
38;70;Cc1ccccc1C(=O)Nc1ccc(C(=O)NO)cc1;Cc1ccccc1C(=O)Nc1ccc(C(=O)NO)cc1;6.8445;1.594;true;yes;
39;222;O=C(NO)c1cccc(NS(=O)(=O)c2cccc(F)c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cccc(F)c2)c1;6.8399;1.877;true;yes;
40;248;O=C(NO)c1cccc(NS(=O)(=O)c2cc(F)cc(Br)c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cc(F)cc(Br)c2)c1;6.8392;2.139;true;yes;
41;241;O=C(NO)c1cccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1;6.8378;1.929;true;yes;
42;62;O=C(NO)c1ccc(NC(=O)c2ccc(Br)cc2)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(Br)cc2)cc1;6.8356;1.619;true;yes;
43;73;N#Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1;N#Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1;6.8334;1.743;true;yes;
44;194;O=C(NO)c1ccc(NC(=O)c2c(Br)ccc(Br)c2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(Br)ccc(Br)c2Br)cc1;6.8306;2.299;true;yes;
45;199;O=C(NO)c1ccc(Br)c(NC(=O)c2cc(Br)cc(Br)c2F)c1;O=C(NO)c1ccc(Br)c(NC(=O)c2cc(Br)cc(Br)c2F)c1;6.829;2.369;true;yes;
46;81;O=C(NO)c1cccc(NCc2ccc(Br)cc2Br)c1;O=C(NO)c1cccc(NCc2ccc(Br)cc2Br)c1;6.8281;2.053;true;yes;
47;100;COc1ccc(C(=O)Nc2cc(C(=O)NO)cc(Br)c2Br)cc1Br;COc1ccc(C(=O)Nc2cc(C(=O)NO)cc(Br)c2Br)cc1Br;6.8273;2.358;true;yes;
48;106;O=C(NO)c1cc(Br)c(F)c(NCc2ccc(Br)cc2Br)c1;O=C(NO)c1cc(Br)c(F)c(NCc2ccc(Br)cc2Br)c1;6.8235;2.509;true;yes;
49;72;Cc1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;Cc1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;6.8197;1.598;true;yes;
50;201;O=C(NO)c1ccc(NC(=O)c2ccccc2F)cc1;O=C(NO)c1ccc(NC(=O)c2ccccc2F)cc1;6.8194;1.623;true;yes;
51;67;N#Cc1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;N#Cc1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;6.8151;1.798;true;yes;
52;200;O=C(NO)c1ccc(NC(=O)c2cc(Br)ccc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2cc(Br)ccc2Cl)cc1;6.8101;1.775;true;yes;
53;164;O=C(NO)c1ccc(C(F)(F)F)c(NC(=O)c2ccc(Br)cc2Br)c1;O=C(NO)c1ccc(C(F)(F)F)c(NC(=O)c2ccc(Br)cc2Br)c1;6.8064;2.248;true;yes;
54;180;O=C(NO)c1ccc(Cl)c(NCc2cc(Br)cc(Br)c2F)c1;O=C(NO)c1ccc(Cl)c(NCc2cc(Br)cc(Br)c2F)c1;6.8049;2.388;true;yes;
55;199;O=C(NO)c1ccc(Br)c(NCc2ccc(Br)cc2Br)c1;O=C(NO)c1ccc(Br)c(NCc2ccc(Br)cc2Br)c1;6.8033;2.237;true;yes;
56;196;O=C(NO)c1ccc(Br)c(NC(=O)c2c(Br)cc(Br)cc2Br)c1;O=C(NO)c1ccc(Br)c(NC(=O)c2c(Br)cc(Br)cc2Br)c1;6.7985;2.462;true;no; 1 violations
57;187;O=C(NO)c1cccc(NCc2cc(Br)cc(Br)c2F)c1;O=C(NO)c1cccc(NCc2cc(Br)cc(Br)c2F)c1;6.796;2.31;true;yes;
58;132;O=C(NO)c1ccc(F)c(NCc2cc(Br)cc(Br)c2F)c1;O=C(NO)c1ccc(F)c(NCc2cc(Br)cc(Br)c2F)c1;6.7894;2.402;true;yes;
59;196;O=C(NO)c1ccc(Br)c(NC(=O)c2ccc(Br)cc2Br)c1;O=C(NO)c1ccc(Br)c(NC(=O)c2ccc(Br)cc2Br)c1;6.7889;2.125;true;yes;
60;196;O=C(NO)c1ccc(Br)c(NC(=O)c2cc(Br)cc(Br)c2Br)c1;O=C(NO)c1ccc(Br)c(NC(=O)c2cc(Br)cc(Br)c2Br)c1;6.7889;2.41;true;no; 1 violations
61;103;O=C(NO)c1cc(Br)c(Br)c(NCc2ccc(Br)cc2Br)c1;O=C(NO)c1cc(Br)c(Br)c(NCc2ccc(Br)cc2Br)c1;6.7844;2.589;true;no; 1 violations
62;83;O=C(NO)c1ccc(NC(=O)c2ccc(F)c(Cl)c2)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(F)c(Cl)c2)cc1;6.7815;1.726;true;yes;
63;64;O=C(NO)c1ccc(S(=O)(=O)Nc2ccccc2)cc1;O=C(NO)c1ccc(S(=O)(=O)Nc2ccccc2)cc1;6.7792;1.669;true;yes;
64;197;O=C(NO)c1ccc(NC(=O)c2c(F)cc(Cl)cc2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(F)cc(Cl)cc2Br)cc1;6.7781;2.148;true;yes;
65;199;O=C(NO)c1ccc(NC(=O)c2cccc(Br)c2Br)cc1;O=C(NO)c1ccc(NC(=O)c2cccc(Br)c2Br)cc1;6.7781;2.015;true;yes;
66;202;O=C(NO)c1ccc(NC(=O)c2c(F)cc(Cl)cc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(F)cc(Cl)cc2Cl)cc1;6.7767;1.998;true;yes;
67;200;O=C(NO)c1ccc(NC(=O)c2c(Br)cccc2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(Br)cccc2Br)cc1;6.7757;2.066;true;yes;
68;195;O=C(NO)c1ccc(Cl)c(NC(=O)c2cc(Br)cc(Br)c2F)c1;O=C(NO)c1ccc(Cl)c(NC(=O)c2cc(Br)cc(Br)c2F)c1;6.7745;2.259;true;yes;
69;54;O=C(NO)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1;6.7732;1.552;true;yes;
70;195;O=C(NO)c1ccc(Br)c(NC(=O)c2c(F)cc(Br)cc2Br)c1;O=C(NO)c1ccc(Br)c(NC(=O)c2c(F)cc(Br)cc2Br)c1;6.771;2.411;true;yes;
71;193;O=C(NO)c1ccc(F)c(NC(=O)c2c(F)cc(Br)cc2Br)c1;O=C(NO)c1ccc(F)c(NC(=O)c2c(F)cc(Br)cc2Br)c1;6.771;2.321;true;yes;
72;136;O=C(NO)c1ccc(F)c(NC(=O)c2cc(Br)cc(Br)c2F)c1;O=C(NO)c1ccc(F)c(NC(=O)c2cc(Br)cc(Br)c2F)c1;6.7664;2.278;true;yes;
73;168;O=C(NO)c1cc(F)c(C(F)(F)F)c(NC(=O)c2ccc(Br)cc2Br)c1;O=C(NO)c1cc(F)c(C(F)(F)F)c(NC(=O)c2ccc(Br)cc2Br)c1;6.7621;2.506;true;yes;
74;193;O=C(NO)c1cccc(NCc2cc(Br)cc(Br)c2Br)c1;O=C(NO)c1cccc(NCc2cc(Br)cc(Br)c2Br)c1;6.7603;2.364;true;yes;
75;174;Cc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1F;6.7593;1.74;true;yes;
76;201;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(F)cc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(F)cc2Cl)cc1;6.7559;2.003;true;yes;
77;241;O=C(NO)c1cccc(NS(=O)(=O)c2cc(Br)ccc2Cl)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cc(Br)ccc2Cl)c1;6.7534;2.024;true;yes;
78;76;Cc1cccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)c1;Cc1cccc(S(=O)(=O)Nc2cccc(C(=O)NO)c2)c1;6.7534;1.857;true;yes;
79;200;O=C(NO)c1ccc(NC(=O)c2cc(Br)c(Cl)cc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2cc(Br)c(Cl)cc2Cl)cc1;6.7493;2.006;true;yes;
80;194;O=C(NO)c1ccc(Cl)c(NC(=O)c2c(Br)cc(Br)cc2Br)c1;O=C(NO)c1ccc(Cl)c(NC(=O)c2c(Br)cc(Br)cc2Br)c1;6.7483;2.353;true;yes;
81;79;N#Cc1cccc(S(=O)(=O)NCc2cccc(C(=O)NO)c2)c1;N#Cc1cccc(S(=O)(=O)NCc2cccc(C(=O)NO)c2)c1;6.7477;2.087;true;yes;
82;202;O=C(NO)c1ccc(NC(=O)c2c(F)cccc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(F)cccc2Cl)cc1;6.7454;1.82;true;yes;
83;197;O=C(NO)c1ccc(Br)c(NC(=O)c2c(Cl)cc(Br)cc2Br)c1;O=C(NO)c1ccc(Br)c(NC(=O)c2c(Cl)cc(Br)cc2Br)c1;6.7454;2.414;true;yes;
84;201;O=C(NO)c1ccc(NC(=O)c2c(Cl)ccc(Br)c2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)ccc(Br)c2Cl)cc1;6.7442;2.103;true;yes;
85;199;O=C(NO)c1ccc(NC(=O)c2c(Cl)c(Br)cc(Br)c2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)c(Br)cc(Br)c2Br)cc1;6.7417;2.48;true;yes;
86;192;O=C(NO)c1cccc(NCc2cc(Br)cc(Br)c2Cl)c1;O=C(NO)c1cccc(NCc2cc(Br)cc(Br)c2Cl)c1;6.7381;2.358;true;yes;
87;201;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(Cl)cc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(Cl)cc2Cl)cc1;6.7378;1.962;true;yes;
88;169;Cc1c(Br)cc(Br)cc1CNc1cc(C(=O)NO)ccc1F;Cc1c(Br)cc(Br)cc1CNc1cc(C(=O)NO)ccc1F;6.737;2.382;true;yes;
89;196;O=C(NO)c1ccc(Cl)c(NC(=O)c2cc(Br)cc(Br)c2Br)c1;O=C(NO)c1ccc(Cl)c(NC(=O)c2cc(Br)cc(Br)c2Br)c1;6.7353;2.3;true;yes;
90;195;O=C(NO)c1ccc(Cl)c(NC(=O)c2ccc(Br)cc2Br)c1;O=C(NO)c1ccc(Cl)c(NC(=O)c2ccc(Br)cc2Br)c1;6.7353;2.012;true;yes;
91;48;O=C(NO)c1ccc(NC(=O)c2ccccc2)cc1;O=C(NO)c1ccc(NC(=O)c2ccccc2)cc1;6.735;1.472;true;yes;
92;201;O=C(NO)c1ccc(NC(=O)c2ccccc2Br)cc1;O=C(NO)c1ccc(NC(=O)c2ccccc2Br)cc1;6.7325;1.692;true;yes;
93;197;O=C(NO)c1ccc(Br)c(NC(=O)c2cc(Br)cc(Br)c2Cl)c1;O=C(NO)c1ccc(Br)c(NC(=O)c2cc(Br)cc(Br)c2Cl)c1;6.7324;2.401;true;yes;
94;202;O=C(NO)c1ccc(NC(=O)c2ccc(Br)c(Cl)c2)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(Br)c(Cl)c2)cc1;6.7291;1.833;true;yes;
95;200;O=C(NO)c1ccc(NC(=O)c2ccc(Br)cc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(Br)cc2Cl)cc1;6.7282;1.797;true;yes;
96;200;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(Br)cc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(Br)cc2Cl)cc1;6.7273;2.054;true;yes;
97;202;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(Cl)cc2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(Cl)cc2Br)cc1;6.7273;2.122;true;yes;
98;201;O=C(NO)c1ccc(NC(=O)c2c(Cl)cccc2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)cccc2Br)cc1;6.7258;1.974;true;yes;
99;101;O=C(Nc1cc(Br)c(Cl)c(C(=O)NO)c1)c1ccc(Br)cc1Br;O=C(Nc1cc(Br)c(Cl)c(C(=O)NO)c1)c1ccc(Br)cc1Br;6.7255;2.445;true;yes;
100;197;O=C(NO)c1ccc(NC(=O)c2c(F)c(F)cc(Cl)c2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(F)c(F)cc(Cl)c2Br)cc1;6.7246;2.34;true;yes;
101;194;O=C(NO)c1ccc(Cl)c(NC(=O)c2c(F)cc(Br)cc2Br)c1;O=C(NO)c1ccc(Cl)c(NC(=O)c2c(F)cc(Br)cc2Br)c1;6.7228;2.301;true;yes;
102;248;O=C(NO)c1cccc(NS(=O)(=O)c2cc(Cl)c(Cl)cc2Cl)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cc(Cl)c(Cl)cc2Cl)c1;6.7222;2.107;true;yes;
103;200;O=C(NO)c1ccc(NC(=O)c2ccc(Cl)c(Cl)c2)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(Cl)c(Cl)c2)cc1;6.722;1.693;true;yes;
104;202;O=C(NO)c1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1;6.7219;1.804;true;yes;
105;194;O=C(NO)c1ccc(Cl)c(NC(=O)c2c(Cl)cc(Br)cc2Br)c1;O=C(NO)c1ccc(Cl)c(NC(=O)c2c(Cl)cc(Br)cc2Br)c1;6.7211;2.304;true;yes;
106;201;O=C(NO)c1cccc(NC(=O)c2c(Br)cc(Br)cc2Br)c1;O=C(NO)c1cccc(NC(=O)c2c(Br)cc(Br)cc2Br)c1;6.7205;2.277;true;yes;
107;205;O=C(NO)c1ccc(NC(=O)c2c(F)c(F)cc(Cl)c2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(F)c(F)cc(Cl)c2Cl)cc1;6.7201;2.206;true;yes;
108;185;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(Br)c(F)c1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(Br)c(F)c1F;6.7121;2.463;true;yes;
109;186;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(F)c(F)c1Br;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(F)c(F)c1Br;6.7121;2.506;true;yes;
110;185;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(F)c(Br)c1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(F)c(Br)c1F;6.7121;2.467;true;yes;
111;163;CCc1ccc(C(=O)NO)cc1NCCc1ccc(Br)cc1Br;CCc1ccc(C(=O)NO)cc1NCCc1ccc(Br)cc1Br;6.7097;2.271;true;yes;
112;169;O=C(NO)c1ccc(C(F)F)c(NC(=O)c2ccccc2F)c1;O=C(NO)c1ccc(C(F)F)c(NC(=O)c2ccccc2F)c1;6.7094;2.168;true;yes;
113;186;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(F)c(F)c1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(F)c(F)c1F;6.7088;2.316;true;yes;
114;198;O=C(NO)c1ccc(Cl)c(NC(=O)c2cc(Br)cc(Br)c2Cl)c1;O=C(NO)c1ccc(Cl)c(NC(=O)c2cc(Br)cc(Br)c2Cl)c1;6.7082;2.292;true;yes;
115;203;O=C(NO)c1ccc(NC(=O)c2cc(F)cc(Cl)c2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2cc(F)cc(Cl)c2Cl)cc1;6.7015;1.99;true;yes;
116;173;Cc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Br)cc1C;Cc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Br)cc1C;6.7009;1.899;true;yes;
117;158;Cc1ccc(C(=O)NO)cc1NCc1cccc(Br)c1;Cc1ccc(C(=O)NO)cc1NCc1cccc(Br)c1;6.7007;1.909;true;yes;
118;202;O=C(NO)c1ccc(NC(=O)c2c(Br)ccc(Cl)c2F)cc1;O=C(NO)c1ccc(NC(=O)c2c(Br)ccc(Cl)c2F)cc1;6.6965;2.157;true;yes;
119;202;O=C(NO)c1cccc(NC(=O)c2c(Cl)cc(Br)cc2Br)c1;O=C(NO)c1cccc(NC(=O)c2c(Cl)cc(Br)cc2Br)c1;6.696;2.226;true;yes;
120;198;O=C(NO)c1cccc(NC(=O)c2c(F)cc(Br)cc2Br)c1;O=C(NO)c1cccc(NC(=O)c2c(F)cc(Br)cc2Br)c1;6.6957;2.224;true;yes;
121;182;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)c(Br)cc1Br;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)c(Br)cc1Br;6.6952;2.253;true;yes;
122;71;CC(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)NO)c2)cc1;CC(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)NO)c2)cc1;6.692;1.706;true;yes;
123;70;CC(=O)Nc1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;CC(=O)Nc1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1;6.692;1.706;true;yes;
124;204;O=C(NO)c1ccc(NC(=O)c2c(F)c(Cl)c(Cl)c(Cl)c2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(F)c(Cl)c(Cl)c(Cl)c2Cl)cc1;6.6919;2.383;true;yes;
125;62;O=C(NO)c1ccc(NC(=O)c2ccccc2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2ccccc2Cl)cc1;6.6898;1.599;true;yes;
126;160;CC(=O)c1ccc(C(=O)NO)cc1NCc1ccccc1;CC(=O)c1ccc(C(=O)NO)cc1NCc1ccccc1;6.6874;1.852;true;yes;
127;184;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)c(Br)c(F)c1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)c(Br)c(F)c1F;6.6871;2.416;true;yes;
128;186;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)c(F)c(F)c1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)c(F)c(F)c1F;6.6871;2.328;true;yes;
129;203;O=C(NO)c1ccc(NC(=O)c2c(F)cc(Cl)c(Cl)c2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(F)cc(Cl)c(Cl)c2Cl)cc1;6.6853;2.204;true;yes;
130;185;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(Br)c(F)c(F)c1Br;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(Br)c(F)c(F)c1Br;6.6841;2.657;true;yes;
131;185;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(Br)cc(Br)c(F)c1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(Br)cc(Br)c(F)c1F;6.6841;2.459;true;yes;
132;187;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(Br)c(F)c1Br;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(Br)c(F)c1Br;6.6841;2.63;true;yes;
133;186;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(F)c(Br)c1Br;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(F)c(Br)c1Br;6.6841;2.552;true;yes;
134;186;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(Br)c(F)c(F)c(F)c1Br;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(Br)c(F)c(F)c(F)c1Br;6.6841;2.617;true;yes;
135;183;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(Br)c(Br)c1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(Br)c(Br)c1F;6.6841;2.574;true;yes;
136;185;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(Br)c(Br)c1Br;Cc1ccc(C(=O)NO)cc1NC(=O)c1c(F)c(F)c(Br)c(Br)c1Br;6.6841;2.6;true;yes;
