;model;task;step;batch_idx;absolute_time;smiles;valid;valid_score;unique;occurrences;hdac8_pIC50;hdac8_in_AD;lin_thresh_hdac8_pIC50;step_hdac8_in_AD;single;filter;filtered_single;passes_diversity_filter;score_time;diversity_filter;diversity_filter_params;prior;agent;batch_size;rl_strategy;sigma;loss;prior_nll;agent_nll
10;RNN;HDAC8_pIC50_AD_reward;0;10;10.49558424949646;O=C(NC1OC2CC1CCc1ccccc12)c1ccccc1;true;1;true;0;5.487452327926507;0.0;0.6455826268148831;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;26.425335;26.425339
11;RNN;HDAC8_pIC50_AD_reward;0;11;10.49558424949646;C=CNCOCC1C(C)Oc2c(O)ccc3c2C12CCC=C2C3;true;1;true;0;6.116975184930092;0.0;0.7196441394035402;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;44.74562;44.74563
12;RNN;HDAC8_pIC50_AD_reward;0;12;10.49558424949646;Cc1n[nH]c2c1C(C)N(C1=NC(=O)c3ccccc3C1=O)C2;true;1;true;0;5.857876547771643;0.0;0.6891619467966639;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;30.940443;30.940435
13;RNN;HDAC8_pIC50_AD_reward;0;13;10.49558424949646;COc1ccccc1-c1ccccc1OCc1cn2ncnc(N)c2n1;true;1;true;0;5.598281687023151;0.0;0.6586213749439002;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;27.794987;27.794987
14;RNN;HDAC8_pIC50_AD_reward;0;14;10.49558424949646;O=C(Nc1ccc(C(F)(F)F)cc1)N1CCN(C(=O)C2CCS(=O)(=O)CC2)C(c2cccc(F)c2)C1;true;1;true;0;5.61277950929416;0.0;0.6603270010934307;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;27.812447;27.812443
15;RNN;HDAC8_pIC50_AD_reward;0;15;10.49558424949646;COc1cccc(-c2nn(-c3ccc(NC(=O)c4cnccc4OC)cc3)c(=O)o2)c1;true;1;true;0;5.780154702199862;0.0;0.6800182002588073;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;40.31797;40.31797
16;RNN;HDAC8_pIC50_AD_reward;0;16;10.49558424949646;CSC1C(NC(=O)c2cc3c(C4CC4)cccn3n2)CCC1(F)F;true;1;true;0;5.530950399236902;0.0;0.6507000469690473;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;41.012505;41.0125
17;RNN;HDAC8_pIC50_AD_reward;0;17;10.49558424949646;Nc1nc(C#CC2CCCCC2)nc2c1ncn2C1OC(CO)C(O)C1O;true;1;true;0;6.538747195002539;0.0;0.7692643758826517;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.637979e-12;17.496237;17.496235
18;RNN;HDAC8_pIC50_AD_reward;0;18;10.49558424949646;Cn1cnc(-c2cc3c([nH]c4ccc(C#N)cc43)c(C(N)=O)n2)c1;true;1;true;0;5.843550229668871;0.0;0.6874764976081025;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.274181e-11;28.570362;28.570368
19;RNN;HDAC8_pIC50_AD_reward;0;19;10.49558424949646;CN(C)C(=O)Oc1cccc2c1C1CCCCC1N2C;true;1;true;0;5.687305019279538;0.0;0.669094708150534;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;22.054245;22.054241
20;RNN;HDAC8_pIC50_AD_reward;0;20;10.49558424949646;CCOC(=O)C1CCN(C(=O)Cn2c(=O)[nH]c3cc(Cl)c(-c4ccccc4)cc3c2=O)CC1;true;1;true;0;5.8221563810138175;0.0;0.6849595742369197;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;33.744816;33.744816
21;RNN;HDAC8_pIC50_AD_reward;0;21;10.49558424949646;Clc1ccc(C(Nc2ccccc2)C2=NCCN2)cc1;true;1;true;0;5.506922297848757;0.0;0.6478732115116185;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;24.360691;24.360695
22;RNN;HDAC8_pIC50_AD_reward;0;22;10.49558424949646;Cc1noc(-c2cccc(Br)c2O)c1-c1cccc(C(=O)O)c1;true;1;true;0;5.30997865625985;0.0;0.6247033713246882;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;33.171722;33.17172
23;RNN;HDAC8_pIC50_AD_reward;0;23;10.49558424949646;Nc1ncc(-c2ccc(C(=O)N3CC(c4ccccc4Cl)C3)cc2)c(N)n1;true;1;true;0;5.593544108080485;0.0;0.6580640127153511;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;29.993988;29.993984
24;RNN;HDAC8_pIC50_AD_reward;0;24;10.49558424949646;OC1CCCN(c2ccc3ncnc(Nc4cccc(Br)c4)c3c2)C1;true;1;true;0;6.000079988283197;0.0;0.705891763327435;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;23.90958;23.909576
25;RNN;HDAC8_pIC50_AD_reward;0;25;10.49558424949646;O=C(O)CN1C2C=C(c3ccc4ccccc4c3)CC1CC2;true;1;true;0;5.691836037236589;0.0;0.6696277690866576;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;25.143291;25.143291
26;RNN;HDAC8_pIC50_AD_reward;0;26;10.49558424949646;Cn1cc(C2=C(N3CCOCC3)C(=O)NC2=O)c2ccccc21;true;1;true;0;5.730898388685235;0.0;0.6742233398453218;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;21.34609;21.346087
27;RNN;HDAC8_pIC50_AD_reward;0;27;10.49558424949646;O=C(CCN1CCCCC1)Nc1ccc2cnccc2c1;true;1;true;0;5.462176616647203;0.0;0.6426090137232003;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;9.094947e-11;23.93983;23.939821
28;RNN;HDAC8_pIC50_AD_reward;0;28;10.49558424949646;CCCN(C1Cc2ccccc2C1)C1CN(Cc2ccccn2)C1;true;1;true;0;5.538496066500613;0.0;0.651587772529484;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;2.3283064e-10;31.719065;31.71905
29;RNN;HDAC8_pIC50_AD_reward;0;29;10.49558424949646;O=C(O)CCc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1;true;1;true;0;5.318599790907962;0.0;0.6257176224597603;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;9.094947e-11;22.41038;22.41037
30;RNN;HDAC8_pIC50_AD_reward;0;30;10.49558424949646;CC1OC(=O)c2ccc(C#CC3(O)CCC(CN)C3)cc21;true;1;true;0;5.840639259582774;0.0;0.6871340305391499;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;32.09919;32.099197
31;RNN;HDAC8_pIC50_AD_reward;0;31;10.49558424949646;COc1ccc(NC(=O)c2cnoc2C)cc1C1(C)CS(=O)(=O)C2(CCOC2)C(=N)N1;true;1;true;0;5.593004650129084;0.0;0.6580005470740099;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;31.787157;31.78716
32;RNN;HDAC8_pIC50_AD_reward;0;32;10.49558424949646;O=S(Nc1c(=O)n(C(C(N2CCc3ccccc3C2)=O)C)=O)c(C)cc1C)(=O)c1cccc2nsnc12;false;0;true;0;0.0;0.0;1e-06;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;45.559555;45.559547
33;RNN;HDAC8_pIC50_AD_reward;0;33;10.49558424949646;O=C(O)Cn1c(OCc2ccccc2-c2cccc(C(F)(F)F)n2)nc2ccsc2c1=O;true;1;true;0;5.395628899712191;0.0;0.6347798705543755;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;35.71972;35.71972
34;RNN;HDAC8_pIC50_AD_reward;0;34;10.49558424949646;O=C(c1cc2[nH]n(-c3ccccn3)c(=O)c2cc1F)N1CCC(N2CCCCC2)CC1;true;1;true;0;5.651099213344539;0.0;0.6648352015699457;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;32.61612;32.616123
35;RNN;HDAC8_pIC50_AD_reward;0;35;10.49558424949646;CC=Cc1ncc(C(=O)Nc2ccc(F)c(C3(C)N=C(N)OCC3(F)F)c2)cn1;true;1;true;0;5.636574669839096;0.0;0.663126431745776;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.274181e-11;30.700378;30.700384
36;RNN;HDAC8_pIC50_AD_reward;0;36;10.49558424949646;CNC(CC(C)C)Cn1c(=S)[nH]c2sc(C)c(C)c2c1=O;true;1;true;0;5.7830220188794215;0.0;0.6803555316328731;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;31.183083;31.183083
37;RNN;HDAC8_pIC50_AD_reward;0;37;10.49558424949646;COc1ccc(Cn2c(=O)[nH]c3ccccc32)cc1;true;1;true;0;5.908328098248294;0.0;0.6950974233233287;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;2.9467628e-10;19.007488;19.007471
38;RNN;HDAC8_pIC50_AD_reward;0;38;10.49558424949646;Nc1ncnc2c1ncn2C1OCC(O)C1O;true;1;true;0;5.754087640376952;0.0;0.6769514871031708;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;17.011333;17.01133
39;RNN;HDAC8_pIC50_AD_reward;0;39;10.49558424949646;Fc1ccccc1Cc1nnc2ccc(-c3cccc4[nH]ncc34)cn12;true;1;true;0;5.6122973532524085;0.0;0.6602702768532245;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;28.00449;28.004494
40;RNN;HDAC8_pIC50_AD_reward;0;40;10.49558424949646;O=C(CSc1nc2ccccc2c(=O)n1CCc1ccccc1)N1CCCCC1;true;1;true;0;5.663820947180678;0.0;0.6663318761389033;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.637979e-12;24.619535;24.619534
41;RNN;HDAC8_pIC50_AD_reward;0;41;10.49558424949646;CN(C)c1ccnc2c1nc(Sc1ccc3ccccc3n1)n2C1OC(CO)C(O)C1O;true;1;true;0;5.809297756684227;0.0;0.6834467949040267;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.637979e-12;31.186457;31.186459
42;RNN;HDAC8_pIC50_AD_reward;0;42;10.49558424949646;N(c1ccc2n3c(cc2c1)C(C)C(C)NC3=O)(C(=O)NC)(C)C;false;0;true;0;0.0;0.0;1e-06;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;41.514675;41.514668
43;RNN;HDAC8_pIC50_AD_reward;0;43;10.49558424949646;COc1ccc(S(=O)(=O)c2nc(NC(=O)C3COc4ccccc4O3)c(C)n2C)cc1;true;1;true;0;5.723016302649491;0.0;0.6732960356058224;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;33.338234;33.33823
44;RNN;HDAC8_pIC50_AD_reward;0;44;10.49558424949646;CN(C)CCOc1cccc2c1C1(CCN(S(=O)(=O)c3ccccc3)CC1)CC2=O;true;1;true;0;5.848172821596356;0.0;0.6880203319525124;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;26.877815;26.877811
45;RNN;HDAC8_pIC50_AD_reward;0;45;10.49558424949646;COCCn1c(-c2ccccn2)nc2c(N3CCN(Cc4cocn4)CC3)ncnc21;true;1;true;0;6.16853618697541;0.0;0.7257101396441659;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;34.19534;34.195343
46;RNN;HDAC8_pIC50_AD_reward;0;46;10.49558424949646;Cn1c(N2CCC3(CC2)CC(C2CCNC2=O)c2ccccc2N3)nc(-c2ccc(C#N)cc2)cc1=O;true;1;true;0;5.618317164638203;0.0;0.6609784899574356;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;41.474472;41.474476
47;RNN;HDAC8_pIC50_AD_reward;0;47;10.49558424949646;COC(=O)C1CCN(Cc2ccc(NC(=O)c3cccs3)cc2)CC1;true;1;true;0;5.51959814442638;0.0;0.6493644875795742;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;24.902046;24.902042
48;RNN;HDAC8_pIC50_AD_reward;0;48;10.49558424949646;CC1(C)C=Cc2onc(NC(=O)c3cccc(F)c3)c2C1;true;1;true;0;5.493658704437831;0.0;0.6463127887573918;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;9.094947e-11;31.564022;31.564032
49;RNN;HDAC8_pIC50_AD_reward;0;49;10.49558424949646;N#CC1(N2C3=NC4CC2CC3C4O)C(N)=Nc2cccc(Cl)c21;true;1;true;0;5.600452008128707;0.0;0.6588767068386714;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.6379788e-10;41.490986;41.490967
50;RNN;HDAC8_pIC50_AD_reward;0;50;10.49558424949646;CC(Cc1cn(C(C)(C)C)c2ccccc12)C(=O)N(C)c1nnc(-c2cc(C(=O)O)n[nH]2)s1;true;1;true;0;5.674023467441662;0.0;0.6675321726401956;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.3096724e-10;43.307983;43.307995
51;RNN;HDAC8_pIC50_AD_reward;0;51;10.49558424949646;CC(NC(=O)Nc1cc2[nH]nc(-c3cc(N4CCOCC4)ncn3)c2cn1)c1ccccc1;true;1;true;0;6.074014856544025;0.0;0.7145899831228265;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;9.094947e-11;21.026443;21.026453
52;RNN;HDAC8_pIC50_AD_reward;0;52;10.49558424949646;CC(Oc1nc(N2CCOCC2)nc(N2CCOCC2)n1)c1ccccc1C(F)(F)F;true;1;true;0;6.03420806611747;0.0;0.7099068313079376;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.637979e-12;26.127571;26.12757
53;RNN;HDAC8_pIC50_AD_reward;0;53;10.49558424949646;Nc1nccn2c1c(-c1cccc(NC(=O)Nc3ccccc3)c1)c1ncnc(N)c12;true;1;true;0;5.507249782691976;0.0;0.6479117391402325;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;2.3283064e-10;37.37326;37.373245
54;RNN;HDAC8_pIC50_AD_reward;0;54;10.49558424949646;COc1ccc(C(=O)Nc2ccc(C(=S)NCC(=O)N3CCOCC3)cc2)cc1;true;1;true;0;5.291468466400493;0.0;0.6225257019294698;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;9.094947e-11;30.55751;30.5575
55;RNN;HDAC8_pIC50_AD_reward;0;55;10.49558424949646;C[n+]1ccccc1NC(=O)c1ccc2ccccc2c1;true;1;true;0;5.530129316692454;0.0;0.6506034490226417;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;25.187044;25.18704
56;RNN;HDAC8_pIC50_AD_reward;0;56;10.49558424949646;Nc1nc(N)c2cc(Oc3ccccc3)ccc2n1;true;1;true;0;5.134512802907723;0.0;0.6040603297538498;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.637979e-12;18.047686;18.047688
57;RNN;HDAC8_pIC50_AD_reward;0;57;10.49558424949646;Cc1ccc2ccc3c(c(C4CC4)c(C(=O)Nc4cc(=O)[nH]c(C)c4C#N)n3C)c2n1;true;1;true;0;5.757317109064701;0.0;0.6773314245958472;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;55.52157;55.52156
58;RNN;HDAC8_pIC50_AD_reward;0;58;10.49558424949646;Cc1ccc(CC(CN2CCc3cc(C(=O)O)ccc3C2)NC(=O)C(N)Cc2cccc([N+](=O)[O-])c2)nc1;true;1;true;0;5.838366795355117;0.0;0.6868666818064844;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;51.303303;51.303307
59;RNN;HDAC8_pIC50_AD_reward;0;59;10.49558424949646;CCCC(C)C(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1;true;1;true;0;5.642809646591536;0.0;0.6638599584225336;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.7826096e-10;26.862045;26.862032
60;RNN;HDAC8_pIC50_AD_reward;0;60;10.49558424949646;C(c1cc(Oc2c(F)c(C(NO)=O)ccc2F)ccc1NS(=O)(C)=O)(C)(=O)=O;false;0;true;0;0.0;0.0;1e-06;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;38.843613;38.843605
61;RNN;HDAC8_pIC50_AD_reward;0;61;10.49558424949646;Cn1c(=O)c2[nH]c(CN3CCC(C(C)(C)C)CC3)nc2n(C)c1=O;true;1;true;0;5.52160202064736;0.0;0.6496002377232188;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;2.3283064e-10;22.57106;22.571075
62;RNN;HDAC8_pIC50_AD_reward;0;62;10.49558424949646;N#Cc1ccc2nc(-c3ccc(Cl)cc3)nn2c1N;true;1;true;0;5.371061730831161;0.0;0.6318896153919012;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;20.739634;20.739634
63;RNN;HDAC8_pIC50_AD_reward;0;63;10.49558424949646;O=C(Nc1ccc(C(=O)N2CCCCC2)cc1)N1Cc2ccccc2C1;true;1;true;0;5.430641038526115;0.0;0.6388989457089548;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;16.462872;16.462864
64;RNN;HDAC8_pIC50_AD_reward;0;64;10.49558424949646;CC(C)CNc1c(S(=O)(=O)c2ccccc2)cnc2ccccc12;true;1;true;0;5.784557471618301;0.0;0.6805361731315649;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;28.024387;28.024391
65;RNN;HDAC8_pIC50_AD_reward;0;65;10.49558424949646;CC(C)C(N)CNc1ncc2c3ccncc3n(C3CCCC3)c2n1;true;1;true;0;5.791801447076994;0.0;0.6813884055384698;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;27.253845;27.253838
66;RNN;HDAC8_pIC50_AD_reward;0;66;10.49558424949646;CNCc1ccc(-c2cn(-c3ccc4cccc5nnc(S(C)(=O)=O)c-5c4c3)c(-n3nccn3)n2)cc1;true;1;true;0;5.796686028111809;0.0;0.681963062130801;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.3096724e-10;60.427788;60.4278
67;RNN;HDAC8_pIC50_AD_reward;0;67;10.49558424949646;Nc1ncnn2c(Nc3ccccc3N3CCC(N)CC3)c3occc3c12;true;1;true;0;5.477505058346028;0.0;0.6444123598054151;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;29.571676;29.571672
68;RNN;HDAC8_pIC50_AD_reward;0;68;10.49558424949646;NS(=O)(=O)c1ccc(CCNc2ncccn2)cc1;true;1;true;0;5.862059192565211;0.0;0.6896540226547307;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;20.18814;20.188137
69;RNN;HDAC8_pIC50_AD_reward;0;69;10.49558424949646;CCc1nn(Cc2ccc(C(=O)NCCN(C)C)cc2F)c2cc(Cl)ccc12;true;1;true;0;5.3247284199117;0.0;0.6264386376366706;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;5.820766e-11;33.052185;33.052193
